LSM303D detected successfully.
starting main
x -0.096624
y 0
z 1.003816
Begin calibration routine
('gravity magnitude', 1.0127756069271063)
('gravity removed', [-0.22577865142953582, -0.1209137969739092, 0.9901979052958565])
end of calibration
sleeping
clearing graph
beginning main loop
X Acceleration,Y Acceleration,Z Acceleration,X Kalman,Y Kalman,Z Kalman,X Kalman Rounded,Y Kalman Rounded,Z Kalman Rounded
(-0.101504, 0, 1.009916, 0.11185224777846044, 0, 0.017035266354402556, '0.112', '0.000', '0.017')
(-0.101504, 0, 1.009916, 0.1022561949372852, 0, 0.014904245847831232, '0.102', '0.000', '0.015')
(-0.101504, 0, 1.009916, 0.09365403570564788, 0, 0.013516682208069009, '0.094', '0.000', '0.014')
(-0.10004, 0, 1.0126, 0.08771482618332259, 0, 0.015052284485050138, '0.088', '0.000', '0.015')
(-0.10004, 0, 1.0126, 0.08137471610378232, 0, 0.013764903303026266, '0.081', '0.000', '0.014')
(-0.10004, 0, 1.0126, 0.07671086253160815, 0, 0.012744892304464295, '0.077', '0.000', '0.013')
(-0.10004, 0, 1.0126, 0.07179872328421495, 0, 0.012106098166431822, '0.072', '0.000', '0.012')
(-0.10004, 0, 1.005524, 0.06751533974866979, 0, 0.0044893610441747445, '0.068', '0.000', '0.004')
(-0.105652, 0, 1.005524, 0.05841652414643539, 0, 0.0038484462663102015, '0.058', '0.000', '0.004')
(-0.105652, 0, 1.005524, 0.05605382330385983, 0, 0.0032528969535778884, '0.056', '0.000', '0.003')
(-0.105652, 0, 1.005524, 0.05317208985218361, 0, 0.0029489951421750593, '0.053', '0.000', '0.003')
(-0.105652, 0, 1.005524, 0.05057290616516974, 0, 0.0024677366696241876, '0.051', '0.000', '0.002')
(-0.099552, 0, 1.001132, 0.05405492493374639, 0, -0.002433849827532031, '0.054', '0.000', '-0.002')
(-0.099552, 0, 1.001132, 0.05219029043699741, 0, -0.0028888558281738863, '0.052', '0.000', '-0.003')
(-0.099552, 0, 1.001132, 0.04994416518853054, 0, -0.003087174675687976, '0.050', '0.000', '-0.003')
(-0.099552, 0, 1.001132, 0.047885612832624075, 0, -0.003265995493977769, '0.048', '0.000', '-0.003')
(-0.099552, 0, 1.001132, 0.0459920868913723, 0, -0.003653608216507065, '0.046', '0.000', '-0.004')
(-0.099552, 0, 0.998692, 0.04516270125112229, 0, -0.006418694920416024, '0.045', '0.000', '-0.006')
(-0.099552, 0, 0.998692, 0.04403756096795314, 0, -0.0067471070506840425, '0.044', '0.000', '-0.007')
(-0.099552, 0, 0.998692, 0.04242187179106685, 0, -0.0070664666168701595, '0.042', '0.000', '-0.007')
(-0.099552, 0, 0.998692, 0.040922826367279425, 0, -0.007339387730174285, '0.041', '0.000', '-0.007')
(-0.099552, 0, 0.938668, 0.040477226622165574, 0, -0.06763107269815449, '0.040', '0.000', '-0.068')
(-0.097112, 0, 1.001132, 0.04145778696377811, 0, -0.005238499068767499, '0.041', '0.000', '-0.005')
(-0.097112, 0, 1.001132, 0.041419758660481365, 0, -0.005740861619344617, '0.041', '0.000', '-0.006')
(-0.097112, 0, 1.001132, 0.04006722493585818, 0, -0.005785573921841092, '0.040', '0.000', '-0.006')
(-0.097112, 0, 1.001132, 0.03880157099902129, 0, -0.0058270059302756305, '0.039', '0.000', '-0.006')
(-0.098332, 0, 1.010648, 0.03640380217472208, 0, 0.0034824130777106888, '0.036', '0.000', '0.003')
(-0.098332, 0, 1.010648, 0.03622074085180163, 0, 0.003234691104184506, '0.036', '0.000', '0.003')
(-0.098332, 0, 1.010648, 0.035119404733995385, 0, 0.003214015754963162, '0.035', '0.000', '0.003')
(-0.098332, 0, 1.010648, 0.034082611355366665, 0, 0.0031947116566357625, '0.034', '0.000', '0.003')
(-0.098332, 0, 1.010648, 0.03310484957804427, 0, 0.0030120612949422476, '0.033', '0.000', '0.003')
(-0.101992, 0, 1.003328, 0.03021442227943097, 0, -0.004487268355382268, '0.030', '0.000', '-0.004')
(-0.101992, 0, 1.003328, 0.02938519789106231, 0, -0.004480111800937214, '0.029', '0.000', '-0.004')
(-0.101992, 0, 1.003328, 0.028600893217546663, 0, -0.004473383148345889, '0.029', '0.000', '-0.004')
(-0.101992, 0, 1.003328, 0.02785795496402424, 0, -0.004844670693282982, '0.028', '0.000', '-0.005')
(-0.101992, 0, 1.003328, 0.028303039278502584, 0, -0.004990304755644326, '0.028', '0.000', '-0.005')
(-0.10492, 0, 1.006256, 0.024719120358409577, 0, -0.0020341991384635882, '0.025', '0.000', '-0.002')
(-0.10492, 0, 1.006256, 0.02409639422664249, 0, -0.002191801303651042, '0.024', '0.000', '-0.002')
(-0.10492, 0, 1.006256, 0.02418751728309311, 0, -0.0023309934671758015, '0.024', '0.000', '-0.002')
(-0.10492, 0, 1.006256, 0.023585700811332558, 0, -0.0022966924786667064, '0.024', '0.000', '-0.002')
(-0.10492, 0, 1.008696, 0.023007111986619103, 0, 0.00017516751212731663, '0.023', '0.000', '0.000')
(-0.101016, 0, 1.008696, 0.02626832837914364, 0, 7.431717147077244e-05, '0.026', '0.000', '0.000')
(-0.101016, 0, 1.008696, 0.026714456363680694, 0, -0.00011270249085582051, '0.027', '0.000', '-0.000')
(-0.101016, 0, 1.008696, 0.027224625724489443, 0, -0.00025578694114591904, '0.027', '0.000', '-0.000')
(-0.101016, 0, 1.008696, 0.02656896185194993, 0, -0.00022427498326660356, '0.027', '0.000', '-0.000')
(-0.100284, 0, 1.003328, 0.02667150220523347, 0, -0.005693713293892122, '0.027', '0.000', '-0.006')
(-0.100284, 0, 1.003328, 0.02783366838092978, 0, -0.005803186360695545, '0.028', '0.000', '-0.006')
(-0.100284, 0, 1.003328, 0.027195441741923163, 0, -0.005768411612626645, '0.027', '0.000', '-0.006')
(-0.100284, 0, 1.003328, 0.02658627638196752, 0, -0.005735338519905264, '0.027', '0.000', '-0.006')
(-0.100284, 0, 1.05774, 0.02589011447216165, 0, 0.048539679079052656, '0.026', '0.000', '0.049')
(-0.096624, 0, 0.9952759999999999, 0.028933626976336127, 0, -0.014032694748883245, '0.029', '0.000', '-0.014')
(-0.096624, 0, 0.9952759999999999, 0.029419742142671387, 0, -0.013977168262810369, '0.029', '0.000', '-0.014')
(-0.096624, 0, 0.9952759999999999, 0.028805774741152715, 0, -0.013947049760921426, '0.029', '0.000', '-0.014')
(-0.096624, 0, 0.9952759999999999, 0.028217986268146575, 0, -0.013918377896185885, '0.028', '0.000', '-0.014')
(-0.096624, 0, 0.9952759999999999, 0.027654737505026672, 0, -0.014030189668749915, '0.028', '0.000', '-0.014')
(-0.10052799999999999, 0, 0.9952759999999999, 0.023290490379520787, 0, -0.014170540969649204, '0.023', '0.000', '-0.014')
(-0.10052799999999999, 0, 0.9952759999999999, 0.024052148215734995, 0, -0.01429568805021264, '0.024', '0.000', '-0.014')
(-0.10052799999999999, 0, 0.9952759999999999, 0.023582985197179662, 0, -0.014251156136123488, '0.024', '0.000', '-0.014')
(-0.10052799999999999, 0, 0.9952759999999999, 0.02313273760193242, 0, -0.014349629200284153, '0.023', '0.000', '-0.014')
(-0.099796, 0, 1.021384, 0.024335375783276783, 0, 0.011685103626243531, '0.024', '0.000', '0.012')
(-0.099796, 0, 1.021384, 0.023814736478860524, 0, 0.011725086604919666, '0.024', '0.000', '0.012')
(-0.099796, 0, 1.021384, 0.023314813878971635, 0, 0.011763281456241392, '0.023', '0.000', '0.012')
(-0.099796, 0, 1.021384, 0.022834395719393677, 0, 0.011662055988876263, '0.023', '0.000', '0.012')
(-0.099796, 0, 1.021384, 0.023281488980902015, 0, 0.011585351271556021, '0.023', '0.000', '0.012')
(-0.101016, 0, 1.004548, 0.02163294179637433, 0, -0.005349502546027285, '0.022', '0.000', '-0.005')
(-0.101016, 0, 1.004548, 0.021572342032153885, 0, -0.005425653716871981, '0.022', '0.000', '-0.005')
(-0.101016, 0, 1.004548, 0.02114959153469738, 0, -0.005652903932535258, '0.021', '0.000', '-0.006')
(-0.098332, 0, 1.017968, 0.023350298479041992, 0, 0.007814428015191499, '0.023', '0.000', '0.008')
(-0.098332, 0, 1.017968, 0.023837322831666174, 0, 0.0077295880401728745, '0.024', '0.000', '0.008')
(-0.098332, 0, 1.017968, 0.023349091022576, 0, 0.007776843574903269, '0.023', '0.000', '0.008')
(-0.098332, 0, 1.017968, 0.022879715546736457, 0, 0.00772086388856863, '0.023', '0.000', '0.008')
(-0.098332, 0, 1.006744, 0.02244847738462033, 0, -0.003430566161607418, '0.022', '0.000', '-0.003')
(-0.102968, 0, 1.006744, 0.018561876699946037, 0, -0.0034765234791060973, '0.019', '0.000', '-0.003')
(-0.102968, 0, 1.006744, 0.01961244229635839, 0, -0.0035853621624797327, '0.020', '0.000', '-0.004')
(-0.102968, 0, 1.006744, 0.01922653770477155, 0, -0.0035252813046635634, '0.019', '0.000', '-0.004')
(-0.102968, 0, 1.006744, 0.018855585003938025, 0, -0.0034675945169377886, '0.019', '0.000', '-0.003')
(-0.101992, 0, 1.006012, 0.01945777243874658, 0, -0.00442737191715481, '0.019', '0.000', '-0.004')
(-0.101992, 0, 1.006012, 0.019097902405374026, 0, -0.004369678532313737, '0.019', '0.000', '-0.004')
(-0.101992, 0, 1.006012, 0.018751209182455528, 0, -0.004314169201200313, '0.019', '0.000', '-0.004')
(-0.101992, 0, 1.006012, 0.01841698210854996, 0, -0.0043899354256142775, '0.018', '0.000', '-0.004')
(-0.101992, 0, 1.006012, 0.01886306860265395, 0, -0.0044664848744369046, '0.019', '0.000', '-0.004')
(-0.098332, 0, 1.011624, 0.0221048326819675, 0, 0.0011954624421799398, '0.022', '0.000', '0.001')
(-0.098332, 0, 1.011624, 0.021701615938264335, 0, 0.001098552663955088, '0.022', '0.000', '0.001')
(-0.098332, 0, 1.011624, 0.022258662855266148, 0, 0.0010192016811139126, '0.022', '0.000', '0.001')
(-0.098332, 0, 1.011624, 0.021845658844667576, 0, 0.0010710485373721657, '0.022', '0.000', '0.001')
(-0.098332, 0, 1.013332, 0.021444540344615196, 0, 0.0026994822132369034, '0.021', '0.000', '0.003')
(-0.10174799999999999, 0, 1.013332, 0.018252804428246797, 0, 0.002645613794248103, '0.018', '0.000', '0.003')
(-0.10174799999999999, 0, 1.013332, 0.018615990647209354, 0, 0.0025754560406241467, '0.019', '0.000', '0.003')
(-0.10174799999999999, 0, 1.013332, 0.018254252634446105, 0, 0.002635214804598718, '0.018', '0.000', '0.003')
(-0.10174799999999999, 0, 1.013332, 0.017905905710331543, 0, 0.0026211525706014704, '0.018', '0.000', '0.003')
(-0.10174799999999999, 0, 1.014552, 0.018335287735408504, 0, 0.003799080555051848, '0.018', '0.000', '0.004')
(-0.10174799999999999, 0, 1.014552, 0.01797805915194263, 0, 0.003858646364528484, '0.018', '0.000', '0.004')
(-0.10174799999999999, 0, 1.014552, 0.017634000915836806, 0, 0.003916089787785237, '0.018', '0.000', '0.004')
(-0.10174799999999999, 0, 1.014552, 0.017302397900460592, 0, 0.0038548144438115273, '0.017', '0.000', '0.004')
(-0.10174799999999999, 0, 1.014552, 0.016982585829579677, 0, 0.003911749011888066, '0.017', '0.000', '0.004')
(-0.098332, 0, 1.017236, 0.020026842358628047, 0, 0.006645032396816353, '0.020', '0.000', '0.007')
(-0.098332, 0, 1.017236, 0.019667860726138478, 0, 0.006585160480354846, '0.020', '0.000', '0.007')
(-0.098332, 0, 1.017236, 0.020873659987628634, 0, 0.00653390917112695, '0.021', '0.000', '0.007')
(-0.098332, 0, 1.017236, 0.02140329088743939, 0, 0.006488612430767704, '0.021', '0.000', '0.006')
(-0.098332, 0, 1.017236, 0.020998454709925507, 0, 0.006540411149281722, '0.021', '0.000', '0.007')
end of main loop
closing main graph
