LSM303D detected successfully.
starting main
x -4.703588
y -7.99344
z 7.99344
Begin calibration routine
('gravity magnitude', 1.0194781099777315)
('gravity removed', [-0.1378853055123752, -0.03721261059617976, 1.0099368586820843])
end of calibration
sleeping
clearing graph
beginning main loop
X Acceleration,Y Acceleration,Z Acceleration,X Kalman,Y Kalman,Z Kalman,X Kalman Rounded,Y Kalman Rounded,Z Kalman Rounded
(-0.102968, 0, 1.00894, 0.031887761765219125, 0, -0.0018152586711384089, '0.032', '0.000', '-0.002')
(-0.102968, 0, 1.00894, 0.028999343850681647, 0, -0.0021732964184819625, '0.029', '0.000', '-0.002')
(-0.102968, 0, 1.000156, 0.02667400323355537, 0, -0.011555816209874115, '0.027', '0.000', '-0.012')
(-0.102724, 0, 1.000156, 0.024992085676574946, 0, -0.01208836646134448, '0.025', '0.000', '-0.012')
(-0.102724, 0, 1.000156, 0.023273975503563374, 0, -0.012239011057170401, '0.023', '0.000', '-0.012')
(-0.102724, 0, 1.000156, 0.02178944488884048, 0, -0.012617144543744407, '0.022', '0.000', '-0.013')
(-0.102724, 0, 1.000156, 0.02060467983534449, 0, -0.012988756479242358, '0.021', '0.000', '-0.013')
(-0.106628, 0, 1.008452, 0.015722333735595617, 0, -0.004736248494753292, '0.016', '0.000', '-0.005')
(-0.106628, 0, 1.008452, 0.0148558622716925, 0, -0.004774528673431311, '0.015', '0.000', '-0.005')
(-0.106628, 0, 1.008452, 0.01408311439254785, 0, -0.005079585066580794, '0.014', '0.000', '-0.005')
(-0.106628, 0, 1.008452, 0.013490630439248918, 0, -0.005374704228145788, '0.013', '0.000', '-0.005')
(-0.106628, 0, 1.008452, 0.012849255854794975, 0, -0.005374703871815267, '0.013', '0.000', '-0.005')
(-0.102236, 0, 1.008452, 0.016454091920933778, 0, -0.005397227579580832, '0.016', '0.000', '-0.005')
(-0.102236, 0, 1.008452, 0.015737992954705765, 0, -0.005702387295215772, '0.016', '0.000', '-0.006')
(-0.102236, 0, 1.008452, 0.014861712376458294, 0, -0.0059794610423393735, '0.015', '0.000', '-0.006')
(-0.102236, 0, 1.008452, 0.014258674734558482, 0, -0.005972779188984312, '0.014', '0.000', '-0.006')
(-0.102236, 0, 1.008452, 0.013958697119504135, 0, -0.006176317804018394, '0.014', '0.000', '-0.006')
(-0.108092, 0, 1.017724, 0.007763241209544011, 0, 0.0031296448598396864, '0.008', '0.000', '0.003')
(-0.108092, 0, 1.017724, 0.007449792146514964, 0, 0.0031610078873336445, '0.007', '0.000', '0.003')
(-0.108092, 0, 1.017724, 0.007159471514717117, 0, 0.0029775865849179795, '0.007', '0.000', '0.003')
(-0.108092, 0, 1.017724, 0.0068898105553313604, 0, 0.002955936589426278, '0.007', '0.000', '0.003')
(-0.1037, 0, 1.018944, 0.01136598184977028, 0, 0.003963572712344154, '0.011', '0.000', '0.004')
(-0.1037, 0, 1.018944, 0.010962203933796683, 0, 0.003989834054008989, '0.011', '0.000', '0.004')
(-0.1037, 0, 1.018944, 0.010543156477367727, 0, 0.0037909802104432178, '0.011', '0.000', '0.004')
(-0.1037, 0, 1.018944, 0.010181660429744305, 0, 0.003821605937247785, '0.010', '0.000', '0.004')
(-0.1037, 0, 1.018944, 0.00984312346419336, 0, 0.0038502499615373775, '0.010', '0.000', '0.004')
(-0.10492, 0, 1.002352, 0.008502568563717047, 0, -0.012948140434378086, '0.009', '0.000', '-0.013')
(-0.10492, 0, 1.002352, 0.008278368407745568, 0, -0.012906685250101857, '0.008', '0.000', '-0.013')
(-0.10492, 0, 1.002352, 0.008067547438657507, 0, -0.013129901558481372, '0.008', '0.000', '-0.013')
(-0.10492, 0, 1.002352, 0.007925517377133262, 0, -0.013288013495206252, '0.008', '0.000', '-0.013')
(-0.10492, 0, 1.005524, 0.007720860537058644, 0, -0.010068107194977527, '0.008', '0.000', '-0.010')
(-0.099552, 0, 1.005524, 0.012744541361959669, 0, -0.010257488540309057, '0.013', '0.000', '-0.010')
(-0.099552, 0, 1.005524, 0.012548427674445473, 0, -0.01044430158704368, '0.013', '0.000', '-0.010')
(-0.099552, 0, 1.005524, 0.01222642989827498, 0, -0.010403767603654357, '0.012', '0.000', '-0.010')
